cost,minutes
3597.0199999999995,1387589.2199999955
3428.1000000000004,1376691.9599999958
3479.56,1382049.4799999949
3380.59,1367172.8499999945
3347.62,1361349.4099999948
3518.5,1385728.3399999952
3345.67,1355021.7199999948
3417.01,1369942.5499999945
3530.0400000000004,1385918.7999999952
3475.0800000000004,1381216.179999995
3465.03,1378853.7399999949
3346.61,1356693.599999995
3341.13,1354878.909999995
3369.6,1363452.4899999949
3354.6200000000003,1361475.0699999945
3572.0200000000004,1387486.9099999955
3469.55,1379117.0999999947
3339.1200000000003,1354402.4699999948
3424.0699999999997,1371109.9899999946
3389.5699999999997,1368319.8599999945
3487.500000000001,1384160.229999995
3554.5300000000007,1386701.2999999956
3451.52,1378282.1799999946
3543.5200000000004,1386232.0499999954
3499.55,1385469.4499999953
3569.000000000001,1387223.5499999956
2923.16,1332020.719999994
2987.060000000001,1366643.2099999958
3035.9700000000007,1381022.4399999937
2943.55,1358679.8199999942
3069.96,1381158.0899999938
3180.3899999999994,1392271.2399999937
3121.9200000000005,1388659.719999994
3248.35,1395968.3799999938
3152.4200000000005,1389997.3599999936
3278.3100000000004,1396760.059999994
3071.9700000000003,1381191.2199999937
3082.9500000000007,1384866.4899999942
2927.5699999999997,1357407.2099999944
2988.53,1368084.459999996
3032.0,1376839.7799999944
2974.0099999999998,1364954.4499999932
2963.04,1359922.3699999945
2989.5600000000004,1369292.5399999951
3203.8900000000003,1393871.2399999937
3006.55,1373192.1999999958
3017.000000000001,1373560.4399999953
3195.4000000000005,1393342.3699999931
2963.54,1362579.4799999949
3167.8999999999996,1391876.7999999938
3084.9300000000003,1386665.279999994
3234.34,1395012.5299999928
3218.390000000001,1394265.6799999936
3443.6000000000004,1348182.5799999924
3661.9000000000005,1380487.0699999887
3670.4300000000007,1380580.8599999887
3471.0699999999997,1357637.6499999927
3657.9400000000005,1379685.9999999895
3439.09,1343810.8799999924
3486.02,1358438.7199999916
3548.4900000000002,1366934.349999991
3583.9800000000005,1374996.02999999
3444.5499999999997,1348677.429999992
3558.51,1371941.6099999903
3445.6200000000003,1350575.4899999923
3490.55,1358532.5099999916
3573.0100000000007,1374194.959999991
3603.980000000001,1377070.9299999906
3526.0400000000004,1366594.1899999906
3546.0000000000005,1366898.2999999917
3622.9300000000003,1377871.9999999898
3498.0400000000004,1359168.069999991
3510.52,1363843.8799999913
3553.99,1367569.9099999904
3515.03,1364201.2799999905
3516.05,1365735.379999991
3452.58,1355442.039999992
3488.060000000001,1358496.4599999923
3704.420000000001,1380638.5999999894
3526.57,1366687.9799999907
3584.5099999999998,1375089.81999999
3500.57,1363539.769999991
3631.4600000000005,1377965.7899999898
3543.96,1366840.559999991
3333.9100000000003,1395374.6299999903
3331.9199999999996,1394392.9299999909
3227.4300000000003,1378356.3799999915
3296.9500000000003,1388643.5999999894
3262.4200000000005,1384072.679999989
3193.4600000000005,1365950.8599999922
3320.9500000000003,1393065.12999999
3258.4400000000005,1381887.7999999914
3184.8600000000006,1357693.8999999922
3338.44,1398003.44999999
3191.4,1362091.8699999924
3324.4300000000003,1394227.2399999893
3208.43,1373598.209999991
3291.42,1387235.0799999894
3247.41,1380689.2299999907
3431.8700000000003,1403811.9499999909
3293.440000000001,1387705.3999999892
3349.9199999999996,1399662.4799999907
3184.9300000000003,1361709.8399999926
3269.4300000000003,1384431.9099999897
3404.890000000001,1402559.6599999904
3369.4300000000007,1400900.6299999896
3449.3800000000006,1404750.149999991
3256.419999999999,1381417.4799999916
3199.93,1369325.4299999909
3373.8999999999996,1401584.369999991
3243.94,1379053.4999999907
3281.4300000000007,1384902.2299999895
3416.8800000000006,1403341.6299999908
3178.3900000000003,1357311.8699999924
3337.9,1396859.3099999907
3302.91,1390337.469999991
3304.92,1390582.9199999894
3283.9199999999996,1386248.3699999906
3250.9400000000005,1381116.7599999912
3310.96,1392419.80999999
3445.3700000000003,1404279.829999991
3365.9000000000005,1400444.449999991
3307.42,1391011.28999999
3443.3500000000004,1404047.279999991
3402.9100000000003,1401838.8299999898
3278.4400000000005,1384690.9699999911
3322.92,1393140.6399999906
3384.42,1401682.59999999
3310.94,1391949.4899999902
3328.18,1396463.9099999906
3337.6700000000005,1398156.2299999904
3359.6800000000007,1398790.6299999908
3275.2200000000003,1390912.2799999907
3263.23,1390897.0499999907
3239.76,1381517.8899999897
3368.6800000000007,1400009.2899999907
3333.67,1398140.9999999907
3396.670000000001,1400674.1499999906
3372.680000000001,1400024.5199999905
3327.7200000000007,1395587.1099999903
3255.210000000001,1387772.8699999908
3253.2400000000002,1384105.4899999907
3218.760000000001,1373566.2299999902
3291.19,1394115.7999999907
3205.2599999999998,1370457.2799999898
3239.2,1379836.4399999904
3225.19,1379821.2099999906
3325.730000000001,1395571.8799999906
